Name,Revenue,Cnt,C/V 1,C/V 2,C/V 3,C/V 4,C/V 5,C/V 6,C/V 7,C/V 8,C/V 9,C/V 10
Dow,,3,integrity,respect for people,protecting our planet,,,,,,,
3M,,6,collaboration,innovation,perseverance,passion for change,integrity,honesty,,,,
Dupont,,4,safety and health,respect for people,highest ethical behavior,protecting the planet,,,,,,
Sherwin-Williams,,7,integrity,people,service,quality,growth,innovation,performance,,,
PPG Industries,,5,dedication to the customer,respect for the dignity, rights and contributions of employees,recognition of the concerns and needs of society,value of supply chain relationships,responsibility to shareholders,,,,
Ecolab,,3,integrity,accountability,environmental wholeness,,,,,,,
Eastman Chemical,,7,safety & wellness,customer focus,innovation,performance driven team,diversity & inclusion,sustainability,honesty & integrity,,,
Air Products & Chemical,,4,safety,speed,simplicity,self-confidence,,,,,,
Mosaic,,4,belonging,connection,faithfulness,grit,,,,,,
Huntsman,,4,honesty,integrity,respect,responsibility,,,,,,
Westlake Chemical,,5,health,safety and environment,our people,quality & continuous improvement,competitiveness,citizenship,,,,
Celanese,,6,people,safety,customers,quality,community,shareholders,,,,
Olin,,4,first,last and always,helping customers succeed,continuous improvement and innovation,olin people,,,,,
RPM International,,4,integrity,commitment,responsible entrepreneurship,moral courage,,,,,,
Chemours,,5,customer centered,refreshing simplicity,collective entrepreneurship,safety obsession,unshakable integrity,,,,,
International Flavors & Fragrances,,4,passion,creativity,expertise,empowerment,,,,,,
FMC,,6,integrity,safety,sustainability,respect for people,agility,customer centricity,,,,
CF Industries Holdings,,4,we do it right,we do it well,we execute as a team,we take a long-term view,,,,,,
Albemarle,,6,care,curiosity,courage,collaboration,humility,integrity & transparency,,,,
Ashland Global Holdings,,6,protect and advance the people we work with companies we serve shareholders who invest in our future communities we a part of and planet we share,,,,,,,,,
Hexion,,6,ethics and integrity,safety, health and environmental stewardship,customer centric,creativity,our people,high performance teamwork,,,
PolyOne,,3,collaboration,innovation,excellence,,,,,,,
Cabot,,4,integrity,respect,excellence,responsibility,,,,,,
Scotts Miracle-Gro,,10,passionate about what we do,do the right thing,respectful,dependable,accountable,collaborate with each other,empowered to move forward,accept challenges,introduce new ideas,entrepreneurial spirit
H.B. Fuller,,3,the spirit of winning,the power of collaboration,the essence of courage,,,,,,,
Valvoline,,5,it all starts with our people,safety is always our priority,we are committed to winning the right way,we work hard, celebrate success and have fun,we strive for greatness,,,,
LG Chem,,5,customer focus,agility,collaboration,passion,sustainability,,,,,
Lotte Chemical,,3,challenge,respect,originality,,,,,,,
Hanwha Chemical,,3,challenge,dedication,integrity,,,,,,,
SK Innovation,,3,voluntarily,willingly,brain engagement,,,,,,,
Mitsubishi Chemical,,4,sustainability,health and comfort,striving for the well-being of people,society and our planet earth,,,,,,
Toray Industries,,9,safety and environment,ethics and fairness,customer-focus,innovation,workplace competency,cooperation and co-creation,emphasis on human resources,emphasis on human resources,respect for human rights,
Sumitomo Chemical,,6,excellence,customer focus,integrity,people focus,respect,sustainability,,,,
Shin-Etsu Chemical,,4,complies with all laws and regulations,conducts fair business practices,contributes to people daily lives,the advance of industry and society,,,,,,
Mitsui Chemicals,,3,challenge,diversity,one team,,,,,,,
Asahi Kasei,,3,sincerity,challenge,creativity,,,,,,,
Tosoh,,5,contribute to the development of a sustainable society through our business activities,secure safe and stable operation,promote a free and open corporate culture,preserve global environment,pursue our activities with integrity,,,,,
DIC,,5,enterprising,integrity,dedication & loyalty,diversity,social responsibility,,,,,
SKC,,5,customer-oriented,technology-oriented,challenges and innovation,open communication,collaboration,,,,,
Kolon,,3,individual excellence,uniqueness,first choice of customers,,,,,,,
Hyosung,,4,global excellence,innovation,accountability,integrity,,,,,,
